<OOV> 1.0	OOV
امیمہ 1.0	A M II M AA
امین 1.0	A M II N
ان 1.0	I N
انار 1.0	A N AA R
انتظار 1.0	I N TD I Z AA R
انٹر 1.0	I N TT A R
انٹرپٹ 1.0	I N TT A R P TT
انٹرنیشنل 1.0	I N TT A R N AY SH N A L
انٹیرئر 1.0	I N TT AE R I A R
انجام 1.0	A N DZZ AA M
انجم 1.0	I N DZZ A M
انجوائے 1.0	I N DZZ V AA AY
انچارج 1.0	I N TSH AA R DZZ
اندر 1.0	A N DD A R
انڈرسٹینڈ 1.0	I N DD R I S TT AE N DD
انزلا 1.0	A N Z A L AA
انزلہ 1.0	A N Z A L AA
انسان 1.0	I N S AA N
انسٹرکشن 1.0	I N S TT A R A K SH A N
انسٹرکشنز 1.0	I N S TT A R A K SH A N Z
انسٹیٹیوٹ 1.0	I N S TT II TT J OO TT
انسنٹ 1.0	I N S A N TT
انشا 1.0	I N SH AA
انشااللہ 1.0	I N SH AA A L L AA
انصاری 1.0	A N S AA R II
انعم 1.0	A N A M
انفارمیشن 1.0	I N F AA R M AE SH A N
انفورم 1.0	I N F OO R A M
انفورمیشنز 1.0	I N F OO R M AY SH A N Z
انفیکٹ 1.0	I N F AE K TT
انکا 1.0	I N K AA
انکلیوڈڈ 1.0	I N K A L J UU DD DD
انکمپلیٹ 1.0	I N K A M P L AY TT
انکو 1.0	I N K OO
انگریڈینٹ 1.0	A NG R AE DD II N TT
انگریڈینٹس 1.0	A NG R AY DD AY N TT S
اننیق 1.0	I N N II Q
انہوں 1.0	I N H OON
انہونے 1.0	A N H OO N AY
انہی 1.0	I N H II
انہیں 1.0	I N H AEN
انھے 1.0	A N AY
انھیں 1.0	A N TTH AYN
انور 1.0	I N V A R
انوشہ 1.0	I N OO SH A AA
انوولو 1.0	I N V OO L OO
انویسٹیگیٹ 1.0	I N V AE S TT II G AY TT
انیس 1.0	A N II S
انین 1.0	A N II N
انینز 1.0	A N II N Z
اہ 1.0	AA
اہے 1.0	A H AE
او 1.0	OO
اوبلیک 1.0	OO B L II K
اوبویسلی 1.0	OO B V AY S L II
اوپر 1.0	UU P A R
اوپن 1.0	OO P A N
اور 1.0	O R
اورڈر 1.0	O R DD A R
اورنج 1.0	OO R A N DZZ
اورنگ 1.0	O R A NG
اورہیش 1.0	O R II H SH
اورینج 1.0	OO R AE N DZZ
اوریو 1.0	OO R II OO
اوفس 1.0	OO F S
اوفکورس 1.0	OO F I K OO R A S
اوفیسر 1.0	OO F AY S A R
اوفیشل 1.0	OO F II SH A L
اوکے 1.0	OO K AY
اول 1.0	OO L
اولڈ 1.0	OO L DD
اون 1.0	UU N
اونر 1.0	OO N A R
اونرز 1.0	OO N A R Z
اونز 1.0	OO N Z
اونس 1.0	O N S
اونلی 1.0	OO N L II
اونلیٹوٹل 1.0	OO N L AY TT OO TT A L
اوور 1.0	OO V A R
اوے 1.0	A V AY
اویٹنگ 1.0	A V AE TT I NG
اویل 1.0	A V II L
اویلیبل 1.0	A V II L AY B A L
اوینیو 1.0	A V AE N II OO
اے 1.0	AE
ای 1.0	II
ایان 1.0	I J AA N
ایبٹ 1.0	AE B A TT
ایبسولیوٹلی 1.0	AE B A S V L OO TT L II
ایبل 1.0	AY B A L
ایپ 1.0	AE P
ایپپل 1.0	AE P P A L
ایپریشیئٹ 1.0	AE P R AY SH II A T
ایپل 1.0	AE P A L
ایپلی 1.0	AE P L II
ایپلیکیشن 1.0	AE P L II K AY SH A N
ایٹ 1.0	AE TT
ایٹڈبل 1.0	AE TT DD A B A L
ایٹلیسٹ 1.0	AE TT L AE S TT
ایٹھ 1.0	AE TTH
ایٹی 1.0	AE TT II
ایٹین 1.0	AE TT II N
ایجاز 1.0	AY DZZ AA Z
ایجوۓ 1.0	AY DZZ UU
ایچ 1.0	AE TSH
ایدھر 1.0	AE DDH A R
ایڈ 1.0	AE DD
ایڈاون 1.0	AE DD AA V A N
ایڈریس 1.0	AY DD R AY S
ایڈریسس 1.0	AY DD R AY S I S
ایڈس 1.0	AE DD S
ایڈن 1.0	II DD A N
ایڈوائس 1.0	AE DD V AA I S
ایڈیشن 1.0	AE DD II SH A N
ایڈیشنل 1.0	AY DD II SH N A L
ایرر 1.0	AE R A R
ایریا 1.0	AE R I J AA
ایریاز 1.0	AE R I J AA Z
ایریاس 1.0	AE R I J AA S
ایز 1.0	II Z
ایزا 1.0	AY Z AA
ایزلی 1.0	AY Z A L II
ایزی 1.0	AY Z II
ایس 1.0	E S
ایسا 1.0	AY S AA
ایسٹیمیٹ 1.0	AE S TT II M II TT
ایسے 1.0	AY S AE
ایسی 1.0	AY S II
ایف 1.0	E F
ایک 1.0	AE K
ایکٹو 1.0	AE K TT I V
ایکٹیوے 1.0	AE K TT II V AY
ایکچولی 1.0	AE K TSH OO L II
ایکس 1.0	AE K S
ایکسپریس 1.0	AE K S P A R AE S
ایکسپیرنس 1.0	AE K S P AY R E N S
ایکسپیرینس 1.0	AE K S P II R AE N S
ایکسپیکٹ 1.0	AE K S P AE K TT
ایکسپیکٹڈ 1.0	AE K S P AE K TT I DD
ایکسٹرا 1.0	AA AY K S T R AA
ایکسٹریملی 1.0	AA AY K S T R II M L II
ایکسٹینشن 1.0	AE K S TT AE N SH A N
ایکسکلوسیو 1.0	AE K S I K L OO S II OO
ایکسکیوس 1.0	AE K S K I J UU S
ایکسیپٹ 1.0	AE K S II P A TT
ایکسیس 1.0	AE K S II S
ایکشن 1.0	AE K SH A N
ایکوریم 1.0	II K OO R II M
ایگ 1.0	AY G
ایگزٹ 1.0	AY G Z I TT
ایگزیکٹ 1.0	AE G Z AE K TT
ایگزیکٹو 1.0	AY G Z AY K I TT I V
ایل 1.0	II L
ایلس 1.0	AE L A S
ایم 1.0	II M
ایمبیسی 1.0	AE M B AE S II
ایمرجنسی 1.0	AY M A R DZZ A N S II
این 1.0	AE N
اینڈ 1.0	AE N DD
اینی 1.0	AE N II
اینیشیئل 1.0	AE N II SH II A L
ایہے 1.0	AE H AE
ایوب 1.0	AE J UU B
ایورج 1.0	II V A R DZZ
ایوری 1.0	AY V R II
ایون 1.0	AE V A N
ایونیو 1.0	AY V A N J UU
ایئر 1.0	AY A R
ائے 1.0	AA AY
ائی 1.0	A II
ائیرپورٹ 1.0	A II R I P OO R TT
آ 1.0	AA
آب 1.0	AA B
آباد 1.0	AA B AA DD
آپ 1.0	AA P
آپا 1.0	AA P AA
آپارٹ 1.0	AA P AA R TT
آپشن 1.0	AA P SH A N
آپشنس 1.0	AA P SH A N I S
آپکی 1.0	AA P K II
آپولوجی 1.0	AA P OO L OO DZZ II
آتا 1.0	AA TD AA
آتے 1.0	AA TD AY
آتی 1.0	AA TD II
آٹھ 1.0	AA TTH
آج 1.0	AA DZZ
آجاتے 1.0	AA DZZ AA TD AY
آجانی 1.0	AA DZZ AA N II
آجاینگے 1.0	AA DZZ AA II NG G AE
آجایئے 1.0	AA DZZ AA J I AE
آجائے 1.0	AA DZZ AA AY
آچکی 1.0	AA TSH A K II
آخر 1.0	AA X I R
آخری 1.0	AA X I R II
آدمی 1.0	AA DD M II
آدمیوں 1.0	AA DD M II OON
آدھا 1.0	AA DDH AA
آدھے 1.0	AA DDH AE
آدھی 1.0	AA DDH II
آر 1.0	AA R
آرام 1.0	AA R AA M
آراونڈ 1.0	AA R AA V I N DD
آرڈر 1.0	AA R DD A R
آرڈرز 1.0	AA R DD A R Z
آرڈرکیےہیں 1.0	AA R DD A R K J AY H AYN
آرڈرنگ 1.0	AA R DD R I NG
آرکائیو 1.0	AA R K AA II V
آرکیٹک 1.0	AA R K II TT I K
آرمی 1.0	AA R M II
آرہا 1.0	AA R H AA
آرہہی 1.0	AA R H H II
آرہی 1.0	AA R H II
آس 1.0	AA S
آسانی 1.0	AA S AA N II
آسکتا 1.0	AA S A K TD AA
آسکنگ 1.0	AA S K NG
آسلام 1.0	AA S L AA M
آشر 1.0	AA SH R
آشنا 1.0	AA SH N AA
آصف 1.0	AA S I F
آف 1.0	AA F
آفٹر 1.0	AA F TT A R
آفر 1.0	AA F A R
آفس 1.0	AA F I S
آفیسر 1.0	AA F II S A R
آفیسرز 1.0	AA F II S A R Z
آفیشل 1.0	AA F II SH A L
آکر 1.0	AA K A R
آکے 1.0	AA K AY
آگ 1.0	AA G
آگے 1.0	AA G AE
آگیا 1.0	AA G I J AA
آگین 1.0	AA G II N
آگینسٹ 1.0	AA G II N I S TT
آگئی 1.0	AA G II
آل 1.0	AA L
آلاؤ 1.0	AA L AA OO
آلٹرنیٹ 1.0	AA L T R N AY T
آلرائٹ 1.0	AA L A R AA I TT
آلریڈی 1.0	AA L R AE DD II
آلموسٹ 1.0	AA L M OO S TT
آلو 1.0	AA L UU
آلویز 1.0	AA L V II Z
آمبیر 1.0	AA M B II R
آمر 1.0	AA M A R
آملیٹ 1.0	AA M L AY TT
آمنہ 1.0	AA M N AA
آں 1.0	AA
آن 1.0	AA N
آنا 1.0	AA N AA
آنسر 1.0	AA N S R
آنلی 1.0	AA N L II
آنے 1.0	AA N AE
آنی 1.0	AA N II
آہستہ 1.0	AA H I S TD AA
آواز 1.0	AA V AA Z
آوت 1.0	AA V A TD
آور 1.0	AA V A R
آورز 1.0	AA V A R Z
آوے 1.0	AA V AY
آؤ 1.0	AA OO
آؤٹ 1.0	AA A OO T
آؤں 1.0	AA UUN
آیا 1.0	AA J AA
آید 1.0	AA DD I DD
آیئے 1.0	AA J I AE
آئ 1.0	AA I
آئس 1.0	AA I S
آئسکریم 1.0	AA I S K A R II M
آئندہ 1.0	AA I N DD AA
آئے 1.0	AA AE
آئےگا 1.0	AA I AY G AA
آئی 1.0	AA II
آئیڈیا 1.0	AA II DD I J AA
آئیڈیل 1.0	AA II DD I J A L
آئیزہ 1.0	AA II Z AA
آئیگی 1.0	AA II G II
آئیم 1.0	AA II M
آئیں 1.0	AA IIN
آئیندہ 1.0	AA I N DD AA
آئینگی 1.0	AA II A NG G II
آئیے 1.0	AA II AE
بِٹ 1.0	B A I TT
بِٹر 1.0	B A I TT A R
بِگ 1.0	B A I G
با 1.0	B AA
باِسی 1.0	B AA I S II
بابا 1.0	B AA B AA
باپ 1.0	B AA P
بات 1.0	B AA TD
باتے 1.0	B AA TD AY
باتیں 1.0	B AA TD AYN
باد 1.0	B AA DD
بار 1.0	B AA R
باربی 1.0	B AA R B II
بارہ 1.0	B AA R AA
بارہوی 1.0	B AA R A H V II
بارھویں 1.0	B AA RH V AYN
بارے 1.0	B AA R AY
باسی 1.0	B AA S II
باقاعدہ 1.0	B AA Q AA I DD AA
باقی 1.0	B AA Q II
باقیوں 1.0	B AA Q II OON
باکس 1.0	B AA K S
باکسز 1.0	B AA K S I Z
بال 1.0	B AA L
بالکل 1.0	B I L K U L
باہر 1.0	B AA H A R
باوجود 1.0	B AA V A DZZ UU DD
بائٹس 1.0	B AA I TT S
بائنگ 1.0	B AA I NG
بائے 1.0	B AA AY
بائیس 1.0	B AA II S
بائیک 1.0	B AA II K
بآئے 1.0	B A AA AE
ببٹ 1.0	B A B A TT
بتا 1.0	B A TD AA
بتاِنا 1.0	B A TD AA I N AA
بتاِنے 1.0	B A TD AA I N AY
بتاتا 1.0	B A TD AA TD AA
بتاتے 1.0	B A TD AA TD AY
بتاتی 1.0	B A TD AA TD II
بتادیجئے 1.0	B A TD AA DD II DZZ I AE
بتادیں 1.0	B A TD AA DD AYN
بتانا 1.0	B A TD AA N AA
بتانے 1.0	B A TD AA N AY
بتانی 1.0	B A TD AA N II
بتاؤ 1.0	B A TD AA OO
بتاؤں 1.0	B A TD A UUN
بتایا 1.0	B A TD AA J AA
بتایاں 1.0	B A TD AA J AAN
بتایں 1.0	B A TD AA AYN
بتایے 1.0	B A TD AA J AY
بتایئے 1.0	B A TD AA J I AE
بتائے 1.0	B A TD AA AY
بتائی 1.0	B A TD AA II
بتائیگا 1.0	B A TD AA II G AA
بتائیں 1.0	B A TD AA AYN
بتائیے 1.0	B A TD AA II AY
بتآئے 1.0	B A TD AA AE
بٹ 1.0	B A TT
بٹر 1.0	B A TT A R
بٹن 1.0	B A TT A N
بج 1.0	B A DZZ
بجا 1.0	B A DZZ AA
بجانے 1.0	B A DZZ AA N AY
بجائے 1.0	B A DZZ AA AY
بجائیں 1.0	B A DZZ AA AEN
بجنے 1.0	B A DZZ N AY
بجھ 1.0	B U DZZH
بجوا 1.0	B A DZZ V AA
بجے 1.0	B A DZZ AE
بچ 1.0	B A TSH
بچا 1.0	B A TSH AA
بچہ 1.0	B A TSH TSH AA
بچوں 1.0	B A TSH TSH OON
بچے 1.0	B A TSH TSH AE
بچی 1.0	B A TSH II
بحریہ 1.0	B A H A R J AA
بخاری 1.0	B U X AA R II
بدتمیزی 1.0	B A DD TD A M AY Z II
بدلے 1.0	B A DD L AE
بڈی 1.0	B A DD II
برا 1.0	B A R AA
برابر 1.0	B A R AA B A R
برات 1.0	B A R AA TD
برادر 1.0	B A R AA DD A R
برانچ 1.0	B A R AA N TSH
برانچز 1.0	B A R AA N TSH I Z
برانڈ 1.0	B A R AA N DD
براوو 1.0	B A R AA V OO
براؤن 1.0	B A R AA UU N
براؤنز 1.0	B A R AA UU N Z
براؤنی 1.0	B A R AA UU N II
براؤنیز 1.0	B A R AA UU N II Z
برائے 1.0	B A R AA AY
برگر 1.0	B A R G A R
برگرز 1.0	B A R G A R Z
برن 1.0	B A R A N
برہر 1.0	B A R H A R
بروسٹ 1.0	B A R OO S TT
بری 1.0	B A R II
بریڈ 1.0	B A R AE DD
بریک 1.0	B A R AE K
برینڈ 1.0	B A R AE N DD
بڑا 1.0	B A RR AA
بڑھا 1.0	B A RRH AA
بڑھانا 1.0	B A RRH AA N AA
بڑوں 1.0	B A RR OON
بڑے 1.0	B A RR AE
بڑی 1.0	B A RR II
بزی 1.0	B A Z II
بس 1.0	B A S
بسی 1.0	B A S II
بشریٰ 1.0	B A SH A R II
بشیر 1.0	B A SH II R
بعد 1.0	B AA DD
بغیر 1.0	B A 7 AY R
بک 1.0	B A K
بکٹس 1.0	B A K TT S
بکواس 1.0	B A K V AA S
بکیٹ 1.0	B A K AY TT
بگر 1.0	B I G A R
بگڑ 1.0	B I G A RR
بل 1.0	B A L
بلاک 1.0	B I L AA K
بلاول 1.0	B A L AA V A L
بلڈنگ 1.0	B I L DD I NG
بلکہ 1.0	B A L K AE
بلکے 1.0	B A L K AE
بلند 1.0	B A L A N DD
بلیک 1.0	B A L II K
بن 1.0	B A N
بنا 1.0	B A N AA
بناِنے 1.0	B A N AA I N AY
بنایا 1.0	B A N AA J AA
بنائی 1.0	B A N AA II
بنتا 1.0	B A N TD AA
بنتی 1.0	B A N TD II
بند 1.0	B A N DD
بندا 1.0	B A N DD AA
بندہ 1.0	B A N DD AA
بندھ 1.0	B A N DDH
بندوں 1.0	B A N DD OON
بندے 1.0	B A N DD AY
بندی 1.0	B A N DD II
بنگلو 1.0	B A NG L OO
بہار 1.0	B A H AA R
بہت 1.0	B A H A TD
بہتر 1.0	B E H TD A R
بہن 1.0	B A H A N
بھاٹا 1.0	BH AA TT AA
بھالے 1.0	BH AA L AY
بھایا 1.0	BH AA J AA
بھائی 1.0	BH AA II
بھجوا 1.0	BH I DZZ V AA
بھجوایا 1.0	BH I DZZ V AA J AA
بھجوائے 1.0	BH I DZZ V AA AY
بھجوائیں 1.0	BH I DZZ V AA AEN
بھجوائیے 1.0	BH I DZZ V AA II AY
بھجے 1.0	BH I DZZ AE
بھرا 1.0	BH A R AA
بھڑوے 1.0	BH A RR V AE
بھلا 1.0	BH A L AA
بھول 1.0	BH UU L
بھی 1.0	BH II
بھیا 1.0	BH A J AA
بھیج 1.0	BH AE DZZ
بھیجا 1.0	BH AE DZZ AA
بھیجتے 1.0	BH AY DZZ TD AY
بھیجنا 1.0	BH AY DZZ N AA
بھیجو 1.0	BH AY DZZ OO
بھیجوا 1.0	BH AE DZZ V AA
بھیجے 1.0	BH AE DZZ AE
بھیجی 1.0	BH AE DZZ II
بھیجیں 1.0	BH AE DZZ AEN
بھیجینگے 1.0	BH AE DZZ II NG G AE
بھیجیے 1.0	BH AE DZZ II AY
بھیجئے 1.0	BH AE DZZ I AE
بھیک 1.0	BH II K
بھئی 1.0	BH A II
بوائز 1.0	B U V AA I Z
بوائے 1.0	B UU AA AE
بوآئز 1.0	B OO AA I Z
بوتل 1.0	B OO TD A L
بوتھ 1.0	B UU TDH
بوٹل 1.0	B OO TT A L
بوٹم 1.0	B OO TT A M
بورا 1.0	B OO R AA
بوس 1.0	B OO S
بوکس 1.0	B O K S
بول 1.0	B OO L
بولا 1.0	B OO L AA
بولتا 1.0	B OO L TD AA
بولتے 1.0	B OO L TD AY
بولنا 1.0	B OO L N AA
بولنے 1.0	B OO L N AE
بولو 1.0	B OO L OO
بولوں 1.0	B OO L OON
بولے 1.0	B OO L AE
بولی 1.0	B OO L II
بولیں 1.0	B OO L AEN
بولینگے 1.0	B OO L AY NG G AY
بولیے 1.0	B OO L J AE
بولیۓ 1.0	B OO L II
بے 1.0	B AY
بےبی 1.0	B AY B II
بےحد 1.0	B AY H I DD
بی 1.0	B II
بیانی 1.0	B I J AA N II
بیٹ 1.0	B AE TT
بیٹا 1.0	B AE TT AA
بیٹمین 1.0	B AE TT M II N
بیٹھ 1.0	B AY TTH
بیٹھا 1.0	B AY TTH AA
بیٹھایا 1.0	B AY TTH AA J AA
بیٹھائے 1.0	B AY TTH AA AY
بیٹھنا 1.0	B AE TTH N AA
بیٹھو 1.0	B AY TTH OO
بیٹھے 1.0	B AY TTH AE
بیٹھی 1.0	B AY TTH II
بیٹے 1.0	B AE TT AY
بیٹی 1.0	B AE TT II
بیچ 1.0	B AE TSH
بیچارہ 1.0	B AY TSH AA R AA
بیچارے 1.0	B AE TSH AA R AE
بیچاری 1.0	B AY TSH AA R II
بیڈ 1.0	B AY DD
بیزی 1.0	B AE Z II
بیس 1.0	B II S
بیسس 1.0	B AE S I S
بیسکلی 1.0	B AE S K L II
بیسمنٹ 1.0	B AE S M E N TT
بیسیکلی 1.0	B AE S II K A L II
بیشک 1.0	B AE SH K
بیف 1.0	B II F
بیک 1.0	B AY K
بیکری 1.0	B AE K R II
بیکز 1.0	B AY K Z
بیکن 1.0	B AY K A N
بیکوز 1.0	B AY K UU Z
بیکیو 1.0	B AY K I J UU
بیگ 1.0	B AY G
بیگر 1.0	B AY G A R
بیل 1.0	B AE L
بیلنس 1.0	B AE L I N S
بیلو 1.0	B AE L OO
بین 1.0	B II N
بینڈ 1.0	B AE N DD
بینک 1.0	B AE N K
بینگ 1.0	B AE NG
بیہاینڈ 1.0	B AY H AA AY N D
بیہیو 1.0	B AY H II OO
بیوقوف 1.0	B AY V A Q UU F
پ 1.0	P
پِگلی 1.0	P A I G L II
پاِس 1.0	P AA I S
پار 1.0	P AA R
پارٹ 1.0	P AA R TT
پارٹنر 1.0	P AA R TT N A R
پارک 1.0	P AA R K
پارلر 1.0	P AA R L A R
پاس 1.0	P AA S
پاکستان 1.0	P AA K I S TD AA N
پاگل 1.0	P AA G A L
پانچ 1.0	P AA N TSH
پانچوں 1.0	P AA N TSH OON
پانچوی 1.0	P AA N TSH V II
پانڈا 1.0	P AA N DD AA
